OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU2672,1.074113856,1.109877913,0,0,1.179245283,5.241090147,0,1.515151515,2.493765586,0,0,0,0,0,0,1.367989056,1.769911504,0,0,0,0,0,0,0,4.801920768,0,0,0,5.772005772,1.303780965,1.078748652,1.231527094,0,1.680672269,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU759,3.222341568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.213483146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1598,2.148227712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231527094,0.989119683,0,0,0,0,0,0,0,2.123142251,0,0,0,8.361204013,2.369668246,17.36613603,1.394700139,0,0,0,0,0
OTU2832,1.074113856,0,0,0,0,0,2.557544757,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.521126761,0,1.200480192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672240803,0,0,0,0,1.526717557,0,0,0
OTU2248,2.148227712,4.439511654,7.496251874,9.140767824,2.358490566,1.048218029,6.393861893,0,0,0,2.604166667,1.831501832,17.45200698,7.211538462,1.633986928,15.04787962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.016591252,0,6.741573034,0,0,0,0,0,0,0,0,0,2.433090024,0,0,0,0
OTU3327,5.37056928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.808988764,0,0,1.303780965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2303,3.222341568,3.32963374,1.499250375,3.65630713,7.075471698,5.241090147,0,0,0,1.594896332,0,23.80952381,0,0,16.33986928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.215123859,16.18122977,4.926108374,12.85855589,38.65546218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.590664273
OTU910,1.074113856,3.32963374,0,12.79707495,2.358490566,0,2.557544757,1.515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438848921,0,0,0,0,0,0,0,0,20.26049204,0,3.649635036,0,0,0,0
OTU1745,8.592910849,14.42841287,2.99850075,1.828153565,1.179245283,14.67505241,10.23017903,6.060606061,0,9.56937799,2.604166667,1.831501832,1.745200698,0,9.803921569,1.367989056,24.77876106,7.228915663,125.8278146,3.105590062,2.237136465,4.464285714,0,4.854368932,0,0,2.808988764,2.008032129,0,2.60756193,1.078748652,2.463054187,2.96735905,0,1.366120219,76.8,1.508295626,2.877697842,0,8.869179601,4.246284501,1.420454545,0,0,15.05016722,16.58767773,7.235890014,8.368200837,10.94890511,0,0,0,0
OTU532,1.074113856,0,0,3.65630713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43024772,0,0,5.934718101,0,0,0,0,0,5.617977528,0,23.35456476,0,0,0,6.688963211,0,37.62662808,0,0,0,0,0,0
